price,model,exterior_color,interior_color,number_of_keys,year,miles,make,highway_mpg,city_mpg,car_type,number_of_doors,type_of_transmission,number_of_gears
22990,COROLLA HATCHBACK,Black,Black,2,2020,10265,TOYOTA,38,30,Hatchback,4,Auto,CVT
15990,X1,White,Beige,2,2014,61595,BMW,34,23,SUV,4,Auto,8
18590,HIGHLANDER,Gray,Gray,1,2013,61408,TOYOTA,24,18,SUV,4,Auto,5
25590,SORENTO,Silver,Black,1,2019,23274,KIA,26,19,SUV,4,Auto,8
23990,MX-5 MIATA,White,Black,2,2018,20387,MAZDA,33,26,Convertible,2,Manual,6
12590,EQUINOX,Beige,Gray,1,2015,96818,CHEVROLET,32,22,SUV,4,Auto,6
20990,CX-5,Blue,Black,2,2019,9599,MAZDA,31,25,SUV,4,Auto,6
15990,JUKE,White,Black,1,2013,36818,NISSAN,30,25,SUV,4,Auto,CVT
20990,CX-3,Blue,Black,2,2019,21232,MAZDA,32,27,SUV,4,Auto,6
23990,GIULIA,Blue,Black / Tan Interior Colors,2,2017,31434,ALFA_ROMEO,33,24,Sedan,4,Auto,8
29990,WRANGLER,Red,Black,2,2018,9327,JEEP,25,17,SUV,2,Manual,6
18590,C-HR,Gray,Black,2,2019,20536,TOYOTA,31,27,SUV,4,Auto,CVT
14990,CX-9,White,Sand,2,2014,62141,MAZDA,24,17,SUV,4,Auto,6
29990,C-CLASS,Black,Black,2,2018,23105,MERCEDES-BENZ,33,24,Sedan,4,Auto,9
12590,PRIUS,White,Gray,2,2013,101939,TOYOTA,48,51,Hatchback,4,Auto,CVT
17590,VENUE,Black,Black,2,2020,20607,HYUNDAI,34,30,SUV,4,Auto,CVT
22990,ALLROAD,White,Black,2,2015,48261,AUDI,28,21,Wagon,4,Auto,8
13990,COUNTRYMAN,Red,Red,2,2012,63643,MINI,32,25,Hatchback,4,Auto,6
23590,CASCADA,White,Black,2,2016,13010,BUICK,27,20,Convertible,2,Auto,6
19590,COROLLA HATCHBACK,Blue,Black,1,2019,20877,TOYOTA,38,30,Hatchback,4,Auto,CVT
16990,CX-5,Blue,Black,2,2013,59189,MAZDA,32,26,SUV,4,Auto,6
30990,SILVERADO 1500 CREW CAB,White,Black,2,2016,45765,CHEVROLET,23,16,Truck,4,Auto,6
28990,COUNTRYMAN,Red,Black,2,2019,26896,MINI,32,23,Hatchback,4,Auto,8
24590,GLA,Gray,Beige,2,2016,37485,MERCEDES-BENZ,32,24,SUV,4,Auto,7
19990,SRX,Black,Black,2,2015,67573,CADILLAC,23,16,SUV,4,Auto,6
15990,MAZDA3,Gray,Black,2,2018,25710,MAZDA,37,27,Hatchback,4,Manual,6
11990,SPARK,Gray,Black,2,2017,19657,CHEVROLET,38,30,Hatchback,4,Auto,CVT
20590,124 SPIDER,Gray,Black,1,2017,10784,FIAT,35,26,Convertible,2,Manual,6
30590,2 SERIES,Gray,Leather Black/Red Hghlgt/Stitc,2,2017,18328,BMW,34,23,Convertible,2,Auto,8
13990,IMPALA LIMITED,Silver,Black,2,2014,43233,CHEVROLET,30,18,Sedan,4,Auto,6
13990,GOLF,Gray,Black,2,2015,52334,VOLKSWAGEN,36,25,Sedan,4,Auto,6
