year,model,terrain,engine_capacity,mpg,exterior_color,interior_color,gear_type,type_of_car,number_of_keys,price,miles
2020 TOYOTA,COROLLA HATCHBACK,XSE Hatchback 4D,"4-Cyl, Dynamic-Force, 2.0 Liter",30 City / 38 Hwy,Black,Black,"Automatic, CVT W/Dynamic Shift",4 Door Hatchback,2,"$22,990 ","10,265 miles"
2014 BMW,X1,sDrive28i Sport Utility 4D,"4-Cyl, Twin Turbo, 2.0L",23 City / 34 Hwy,White,Beige,"Auto, 8-Spd Steptronic",4 Door SUV,2,"$15,990 ","61,595 miles"
2013 TOYOTA,HIGHLANDER,SE Sport Utility 4D,"V6, 3.5 Liter",18 City / 24 Hwy,Gray,Gray,"Automatic, 5-Spd W/Sequential Mode",4 Door SUV,1,"$18,590 ","61,408 miles"
2019 KIA,SORENTO,EX Sport Utility 4D,"V6, GDI, 3.3 Liter",19 City / 26 Hwy,Silver,Black,"Automatic, 8-Spd",4 Door SUV,1,"$25,590 ","23,274 miles"
2018 MAZDA,MX-5 MIATA,Grand Touring Convertible 2D,"4-Cyl, 2.0 Liter",26 City / 33 Hwy,White,Black,"Manual, 6-Spd",2 Door Convertible,2,"$23,990 ","20,387 miles"
2015 CHEVROLET,EQUINOX,LT Sport Utility 4D,"4-Cyl, 2.4 Liter",22 City / 32 Hwy,Beige,Gray,"Automatic, 6-Spd",4 Door SUV,1,"$12,590 ","96,818 miles"
2019 MAZDA,CX-5,Sport SUV 4D,"4-Cyl, SKYACTIV-G, 2.5 Liter",25 City / 31 Hwy,Blue,Black,"Automatic, 6-Spd SKYACTIV-Drive W/Manual & Sport Modes",4 Door SUV,2,"$20,990 ","9,599 miles"
2013 NISSAN,JUKE,NISMO Sport Utility 4D,"4-Cyl, Turbo, 1.6 Liter",25 City / 30 Hwy,White,Black,"Automatic, CVT W/S-Mode",4 Door SUV,1,"$15,990 ","36,818 miles"
2019 MAZDA,CX-3,Touring Sport Utility 4D,"4-Cyl, SKYACTIV-G, 2.0 Liter",27 City / 32 Hwy,Blue,Black,"Auto, 6-Spd Manual Spt",4 Door SUV,2,"$20,990 ","21,232 miles"
2017 ALFA_ROMEO,GIULIA,Sedan 4D ,"4-Cyl, Turbo, 2.0 Liter",24 City / 33 Hwy,Blue,Black / Tan Interior Colors,"Automatic, 8-Spd",4 Door Sedan,2,"$23,990 "," 31,434 miles"
2018 JEEP,WRANGLER,All New Sport SUV 2D,"V6, VVT, 3.6 Liter",17 City / 25 Hwy,Red,Black,"Manual, 6-Spd",2 Door SUV,2,"$29,990 ","9,327 miles"
2019 TOYOTA,C-HR,LE Sport Utility 4D,"4-Cyl, 2.0 Liter",27 City / 31 Hwy,Gray,Black,"Automatic, CVTi-S",4 Door SUV,2,"$18,590 ","20,536 miles"
2014 MAZDA,CX-9,Touring Sport Utility 4D,"V6, 3.7 Liter",17 City / 24 Hwy,White,Sand,"Auto, 6-Spd W/Sptshft",4 Door SUV,2,"$14,990 ","62,141 miles"
2018 MERCEDES-BENZ,C-CLASS,C 300 Sedan 4D ,"4-Cyl, Turbo, 2.0 Liter",24 City / 33 Hwy,Black,Black,"Auto, 9-Spd 9G-Tronic",4 Door Sedan,2,"$29,990 "," 23,105 miles"
2013 TOYOTA,PRIUS,Four Hatchback 4D,"4-Cyl, Hybrid, 1.8 Liter",51 City / 48 Hwy,White,Gray,"Automatic, CVT",4 Door Hatchback,2,"$12,590 ","101,939 miles"
2020 HYUNDAI,VENUE,SE Sport Utility 4D,"4-Cyl, 1.6 Liter",30 City / 34 Hwy,Black,Black,"Automatic, IVT W/Shiftronic",4 Door SUV,2,"$17,590 ","20,607 miles"
2015 AUDI,ALLROAD,Premium Wagon 4D,"4-Cyl, Turbo, 2.0 Liter",21 City / 28 Hwy,White,Black,"Auto, 8-Spd Tiptronic",4 Door Wagon,2,"$22,990 ","48,261 miles"
2012 MINI,COUNTRYMAN,Cooper S Hatchback 4D,"4-Cyl, Turbo, 1.6 Liter",25 City / 32 Hwy,Red,Red,"Auto, 6-Spd Steptronic",4 Door Hatchback,2,"$13,990 ","63,643 miles"
2016 BUICK,CASCADA,Premium Convertible 2D,"4-Cyl, Turbo, 1.6 Liter",20 City / 27 Hwy,White,Black,"Automatic, 6-Spd W/Overdrive",2 Door Convertible,2,"$23,590 ","13,010 miles"
2019 TOYOTA,COROLLA HATCHBACK,XSE Hatchback 4D,"4-Cyl, Dynamic-Force, 2.0 Liter",30 City / 38 Hwy,Blue,Black,"Automatic, CVTi-S W/Sport Sequential Shiftmatic Mode",4 Door Hatchback,1,"$19,590 ","20,877 miles"
2013 MAZDA,CX-5,Grand Touring Sport Utility 4D,"4-Cyl, SKYACTIV-G, 2.0L",26 City / 32 Hwy,Blue,Black,"Auto, 6-Spd W/MM",4 Door SUV,2,"$16,990 ","59,189 miles"
2016 CHEVROLET,SILVERADO 1500 CREW CAB,LT Pickup 4D 5 3/4 ft ,"V8, EcoTec3, 5.3 Liter",16 City / 23 Hwy,White,Black,"Auto, 6-Spd HD Overdrive",4 Door Truck,2,"$30,990 "," 45,765 miles"
2019 MINI,COUNTRYMAN,Cooper S Hatchback 4D,"4-Cyl, Turbo, 2.0 Liter",23 City / 32 Hwy,Red,Black,"Automatic, 8-Spd Sport",4 Door Hatchback,2,"$28,990 ","26,896 miles"
2016 MERCEDES-BENZ,GLA,GLA 250 4MATIC Sport Utility 4D,"4-Cyl, Turbo, 2.0 Liter",24 City / 32 Hwy,Gray,Beige,"Auto, 7-Spd Dual-Clutch",4 Door SUV,2,"$24,590 ","37,485 miles"
2015 CADILLAC,SRX,Luxury Collection Sport Utility 4D,"V6, 3.6 Liter",16 City / 23 Hwy,Black,Black,"Automatic, 6-Spd W/Overdrive & TAPshift",4 Door SUV,2,"$19,990 ","67,573 miles"
2018 MAZDA,MAZDA3,Sport Hatchback 4D,"4-Cyl, SKYACTIV-G, 2.0L",27 City / 37 Hwy,Gray,Black,"Manual, 6-Spd",4 Door Hatchback,2,"$15,990 ","25,710 miles"
2017 CHEVROLET,SPARK,LS Hatchback 4D,"4-Cyl, ECOTEC, 1.4L",30 City / 38 Hwy,Gray,Black,"Automatic, CVT",4 Door Hatchback,2,"$11,990 ","19,657 miles"
2017 FIAT,124 SPIDER,Classica Convertible 2D,"4-Cyl, MultiAir, 1.4T",26 City / 35 Hwy,Gray,Black,"Manual, 6-Spd",2 Door Convertible,1,"$20,590 ","10,784 miles"
2017 BMW,2 SERIES,230i Convertible 2D,"4-Cyl, SULEV, 2.0T",23 City / 34 Hwy,Gray,Leather Black/Red Hghlgt/Stitc,"Auto, 8-Spd Sport",2 Door Convertible,2,"$30,590 ","18,328 miles"
2014 CHEVROLET,IMPALA LIMITED,LS Sedan 4D,"V6, 3.6 Liter",18 City / 30 Hwy,Silver,Black,"Automatic, 6-Spd",4 Door Sedan,2,"$13,990 ","43,233 miles"
2015 VOLKSWAGEN,GOLF,S Hatchback Sedan 4D,"4-Cyl, PZEV, 1.8T",25 City / 36 Hwy,Gray,Black,"Auto, 6-Spd Tiptronic",4 Door Sedan,2,"$13,990 ","52,334 miles"
2015 VOLKSWAGEN,GOLF,SE Hatchback Sedan 4D,"4-Cyl, PZEV, 1.8T",25 City / 36 Hwy,Silver,Black,"Auto, 6-Spd Tiptronic",4 Door Sedan,2,"$14,990 ","46,152 miles"
2015 HONDA,CIVIC,SE Sedan 4D,"4-Cyl, I-VTEC, 1.8 Liter",30 City / 39 Hwy,Silver,Black,"Automatic, CVT",4 Door Sedan,1,"$13,990 ","72,925 miles"
2016 DODGE,DURANGO,R/T Sport Utility 4D,"V8, HEMI, 5.7 Liter",14 City / 22 Hwy,Gray,Black,"Automatic, 8-Spd",4 Door SUV,2,"$27,590 ","54,178 miles"
2017 SUBARU,OUTBACK,2.5i Limited Wagon 4D,"4-Cyl, PZEV, 2.5 Liter",25 City / 32 Hwy,Red,Black,"Auto, CVT Manual",4 Door Wagon,2,"$21,990 ","42,700 miles"
2015 HONDA,CR-V,LX Sport Utility 4D,"4-Cyl, I-VTEC, 2.4 Liter",27 City / 34 Hwy,Silver,Gray,"Automatic, CVT",4 Door SUV,1,"$18,590 ","14,246 miles"
2019 RAM,1500 CLASSIC REGULAR CAB,Tradesman Pickup 2D 6 1/3 ft ,"V6, Flex Fuel, 3.6 Liter",17 City / 25 Hwy,Brown,Black/Diesel Gray Interior Colors,"Automatic, 8-Spd",2 Door Truck,2,"$22,990 "," 23,149 miles"
2015 JEEP,RENEGADE,Trailhawk Sport Utility 4D,"4-Cyl, MultiAir, 2.4L",21 City / 29 Hwy,White,Black,"Automatic, 9-Spd",4 Door SUV,2,"$16,990 ","71,682 miles"
2019 CHEVROLET,SONIC,LS Sedan 4D,"4-Cyl, ECOTEC, Turbo, 1.4 Liter",26 City / 34 Hwy,White,Black,"Automatic, 6-Spd",4 Door Sedan,2,"$12,990 ","23,508 miles"
2012 TOYOTA,CAMRY,LE Sedan 4D,"4-Cyl, 2.5 Liter",25 City / 35 Hwy,Blue,Tan,"Automatic, 6-Spd",4 Door Sedan,1,"$14,990 ","26,937 miles"
2016 CHEVROLET,COLORADO CREW CAB,Z71 Pickup 4D 5 ft,"V6, VVT, 3.6 Liter",18 City / 26 Hwy,Brown,Black,"Automatic, 6-Spd",4 Door Truck,2,"$27,590 ","39,646 miles"
2013 TOYOTA,AVALON,XLE Touring Hybrid Sedan 4D,"4-Cyl, Hybrid, 2.5 Liter",40 City / 39 Hwy,White,Lt. Gray,"Automatic, CVT",4 Door Sedan,2,"$16,990 ","70,085 miles"
2018 FORD,FUSION,SE Sedan 4D,"4-Cyl, EcoBoost, Turbo, 1.5 Liter",23 City / 34 Hwy,Silver,Ebony,"Automatic, 6-Spd W/SelectShift",4 Door Sedan,1,"$16,990 ","24,981 miles"
2015 FORD,EXPLORER,Sport SUV 4D,"V6, EcoBoost, Twin Turbo, 3.5 Liter",16 City / 22 Hwy,Silver,Char Black Perf Leather,"Auto, 6-Spd SelectShift",4 Door SUV,1,"$23,990 ","65,389 miles"
2017 SUBARU,FORESTER,2.5i Limited Sport Utility 4D,"4-Cyl, PZEV, 2.5 Liter",26 City / 32 Hwy,Silver,Black,"Auto, CVT Lineartronic",4 Door SUV,2,"$22,990 ","26,089 miles"
2018 KIA,SOUL,Wagon 4D,"4-Cyl, 1.6 Liter",25 City / 30 Hwy,Gray,Black,"Automatic, 6-Spd",4 Door Wagon,2,"$15,590 ","10,851 miles"
2019 ACURA,RDX,Sport Utility 4D,"4-Cyl, VTEC, Turbo, 2.0 Liter",22 City / 28 Hwy,White,Tan,"Automatic, 10-Spd W/Sequential SportShift",4 Door SUV,1,"$30,990 ","24,985 miles"
